"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,6,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,2,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,18,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,65,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,65,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,4,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,1,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,4,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,9,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,4,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,1,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","SWE","Sweden","NBR","Number","0","Units",,,4,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,97,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,85,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,12,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,5,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,16,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,33,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,12,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,5,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","CHE","Switzerland","NBR","Number","0","Units",,,16,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","TUR","Türkiye","NBR","Number","0","Units",,,175,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","TUR","Türkiye","NBR","Number","0","Units",,,5,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","TUR","Türkiye","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","TUR","Türkiye","NBR","Number","0","Units",,,15,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","TUR","Türkiye","NBR","Number","0","Units",,,23,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,107,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,62,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,4,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,5,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,11,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,4,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,2,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","GBR","United Kingdom","NBR","Number","0","Units",,,5,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,185,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,162,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,13,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,20,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,36,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,13,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","CHL","Chile","NBR","Number","0","Units",,,20,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","EST","Estonia","NBR","Number","0","Units",,,66,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","EST","Estonia","NBR","Number","0","Units",,,60,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","EST","Estonia","NBR","Number","0","Units",,,1,,
